Case	Satis1	Satis2	Satis3
1	55.6	33.3	66.7
2	100.0	100.0	77.8
3	77.8	66.7	66.7
4	100.0	100.0	100.0
5	100.0	77.8	77.8
6	77.8	66.7	66.7
7	77.8	77.8	77.8
8	66.7	55.6	66.7
9	66.7	66.7	66.7
10	66.7	44.4	44.4
11	100.0	55.6	66.7
12	77.8	77.8	66.7
13	77.8	77.8	66.7
14	100.0	77.8	77.8
15	77.8	55.6	66.7
16	88.9	55.6	66.7
17	88.9	77.8	66.7
18	77.8	44.4	44.4
19	88.9	77.8	88.9
20	77.8	77.8	55.6
21	77.8	88.9	77.8
22	66.7	33.3	44.4
23	66.7	66.7	44.4
24	77.8	77.8	77.8
25	66.7	44.4	11.1
26	100.0	77.8	100.0
27	77.8	44.4	66.7
28	77.8	44.4	66.7
29	77.8	66.7	66.7
30	100.0	100.0	88.9
31	88.9	77.8	77.8
32	77.8	44.4	44.4
33	66.7	44.4	88.9
34	55.6	88.9	100.0
35	66.7	22.2	0.0
36	66.7	66.7	66.7
37	66.7	66.7	22.2
38	77.8	44.4	66.7
39	100.0	66.7	88.9
40	77.8	66.7	66.7
41	100.0	88.9	88.9
42	77.8	66.7	88.9
43	100.0	100.0	77.8
44	66.7	66.7	77.8
45	100.0	100.0	100.0
46	88.9	77.8	77.8
47	77.8	55.6	66.7
48	77.8	66.7	77.8
49	55.6	44.4	33.3
50	66.7	33.3	55.6
51	77.8	100.0	77.8
52	66.7	55.6	66.7
53	88.9	77.8	66.7
54	77.8	66.7	66.7
55	77.8	55.6	66.7
56	77.8	66.7	66.7
57	44.4	11.1	55.6
58	88.9	77.8	77.8
59	100.0	77.8	100.0
60	77.8	66.7	66.7
61	55.6	33.3	55.6
62	88.9	66.7	66.7
63	77.8	66.7	77.8
64	66.7	44.4	66.7
65	66.7	66.7	55.6
66	88.9	66.7	55.6
67	77.8	77.8	66.7
68	55.6	0.0	33.3
69	77.8	66.7	77.8
70	66.7	55.6	66.7
71	88.9	66.7	77.8
72	100.0	55.6	88.9
73	100.0	100.0	100.0
74	66.7	55.6	44.4
75	66.7	0.0	66.7
76	66.7	55.6	55.6
77	66.7	55.6	88.9
78	77.8	66.7	55.6
79	77.8	55.6	66.7
80	66.7	77.8	66.7
81	77.8	88.9	77.8
82	77.8	33.3	77.8
83	88.9	88.9	100.0
84	77.8	55.6	55.6
85	77.8	66.7	55.6
86	66.7	88.9	66.7
87	77.8	88.9	100.0
88	77.8	66.7	88.9
89	88.9	77.8	77.8
90	66.7	88.9	77.8
91	100.0	77.8	66.7
92	77.8	77.8	66.7
93	77.8	88.9	88.9
94	66.7	77.8	66.7
95	44.4	11.1	22.2
96	77.8	77.8	100.0
97	77.8	77.8	88.9
98	77.8	55.6	66.7
99	77.8	66.7	66.7
100	77.8	88.9	88.9
101	77.8	44.4	66.7
102	77.8	77.8	66.7
103	77.8	77.8	77.8
104	100.0	55.6	77.8
105	100.0	66.7	77.8
106	66.7	44.4	44.4
107	100.0	77.8	77.8
108	77.8	77.8	88.9
109	77.8	66.7	77.8
110	100.0	77.8	100.0
111	88.9	77.8	66.7
112	77.8	55.6	77.8
113	88.9	88.9	88.9
114	100.0	77.8	100.0
115	77.8	77.8	100.0
116	77.8	44.4	44.4
117	77.8	100.0	100.0
118	100.0	66.7	77.8
119	77.8	77.8	88.9
120	77.8	100.0	100.0
121	88.9	100.0	44.4
122	44.4	66.7	44.4
123	100.0	100.0	100.0
124	66.7	33.3	55.6
125	77.8	44.4	66.7
126	55.6	66.7	66.7
127	88.9	100.0	88.9
128	77.8	77.8	66.7
129	66.7	55.6	55.6
130	77.8	66.7	66.7
131	44.4	66.7	100.0
132	66.7	44.4	44.4
133	55.6	44.4	44.4
134	55.6	77.8	77.8
135	77.8	66.7	66.7
136	77.8	77.8	77.8
137	100.0	100.0	100.0
138	100.0	77.8	77.8
139	100.0	100.0	88.9
140	77.8	77.8	77.8
141	88.9	77.8	88.9
142	77.8	77.8	66.7
143	44.4	44.4	44.4
144	77.8	77.8	77.8
145	100.0	100.0	100.0
146	100.0	77.8	77.8
147	55.6	44.4	33.3
148	77.8	77.8	66.7
149	66.7	44.4	100.0
150	77.8	77.8	55.6
151	88.9	66.7	77.8
152	77.8	77.8	77.8
153	77.8	33.3	77.8
154	88.9	100.0	66.7
155	77.8	77.8	66.7
156	66.7	77.8	66.7
157	77.8	66.7	66.7
158	88.9	77.8	77.8
159	66.7	66.7	55.6
160	77.8	66.7	77.8
161	77.8	66.7	66.7
162	66.7	66.7	77.8
163	88.9	77.8	88.9
164	77.8	55.6	11.1
165	77.8	22.2	22.2
166	77.8	77.8	100.0
167	77.8	77.8	77.8
168	66.7	55.6	55.6
169	77.8	55.6	66.7
170	77.8	55.6	66.7
171	66.7	55.6	55.6
172	77.8	77.8	100.0
173	77.8	66.7	77.8
174	66.7	66.7	33.3
175	100.0	88.9	77.8
176	100.0	77.8	66.7
177	77.8	88.9	100.0
178	77.8	88.9	66.7
179	77.8	100.0	66.7
180	77.8	66.7	66.7
181	77.8	66.7	66.7
182	66.7	44.4	55.6
183	77.8	66.7	77.8
184	77.8	77.8	66.7
