Case	Loyal1	Loyal2	Loyal3
1	55.6	44.4	55.6
2	100.0	11.1	100.0
3	55.6	11.1	66.7
4	100.0	33.3	100.0
5	100.0	22.2	77.8
6	100.0	22.2	100.0
7	66.7	55.6	77.8
8	44.4	66.7	77.8
9	55.6	22.2	66.7
10	100.0	33.3	55.6
11	100.0	33.3	77.8
12	44.4	11.1	44.4
13	66.7	22.2	77.8
14	100.0	33.3	100.0
15	44.4	11.1	100.0
16	88.9	33.3	77.8
17	100.0	11.1	100.0
18	22.2	22.2	22.2
19	88.9	44.4	100.0
20	77.8	0.0	55.6
21	77.8	33.3	88.9
22	22.2	55.6	66.7
23	66.7	11.1	66.7
24	77.8	11.1	88.9
25	22.2	11.1	0.0
26	100.0	77.8	100.0
27	66.7	22.2	66.7
28	100.0	100.0	77.8
29	88.9	44.4	77.8
30	100.0	77.8	100.0
31	77.8	22.2	100.0
32	44.4	22.2	33.3
33	100.0	0.0	100.0
34	100.0	22.2	77.8
35	0.0	44.4	0.0
36	66.7	11.1	77.8
37	22.2	55.6	11.1
38	88.9	22.2	55.6
39	100.0	100.0	88.9
40	100.0	33.3	88.9
41	77.8	22.2	100.0
42	88.9	100.0	77.8
43	100.0	11.1	100.0
44	55.6	11.1	88.9
45	77.8	66.7	100.0
46	66.7	55.6	0.0
47	44.4	11.1	66.7
48	77.8	66.7	77.8
49	33.3	0.0	33.3
50	33.3	11.1	66.7
51	100.0	22.2	77.8
52	55.6	11.1	66.7
53	66.7	22.2	100.0
54	77.8	55.6	77.8
55	66.7	33.3	66.7
56	66.7	11.1	66.7
57	44.4	100.0	44.4
58	77.8	33.3	77.8
59	100.0	44.4	100.0
60	66.7	55.6	44.4
61	66.7	11.1	33.3
62	77.8	66.7	77.8
63	66.7	22.2	88.9
64	100.0	66.7	55.6
65	11.1	44.4	22.2
66	55.6	11.1	55.6
67	66.7	88.9	55.6
68	0.0	66.7	33.3
69	88.9	66.7	77.8
70	66.7	22.2	77.8
71	66.7	22.2	88.9
72	44.4	33.3	77.8
73	0.0	44.4	0.0
74	66.7	55.6	44.4
75	100.0	44.4	44.4
76	77.8	44.4	55.6
77	77.8	33.3	88.9
78	100.0	55.6	77.8
79	77.8	55.6	77.8
80	77.8	0.0	77.8
81	77.8	100.0	100.0
82	88.9	55.6	77.8
83	100.0	55.6	100.0
84	66.7	33.3	55.6
85	77.8	33.3	44.4
86	88.9	33.3	44.4
87	100.0	22.2	100.0
88	100.0	77.8	77.8
89	100.0	11.1	100.0
90	77.8	88.9	88.9
91	100.0	100.0	77.8
92	55.6	22.2	77.8
93	100.0	11.1	88.9
94	77.8	100.0	44.4
95	0.0	11.1	0.0
96	100.0	77.8	88.9
97	88.9	55.6	88.9
98	66.7	22.2	77.8
99	66.7	22.2	44.4
100	66.7	100.0	100.0
101	77.8	22.2	44.4
102	66.7	55.6	66.7
103	88.9	11.1	100.0
104	44.4	77.8	77.8
105	100.0	55.6	100.0
106	44.4	22.2	66.7
107	77.8	22.2	77.8
108	77.8	22.2	88.9
109	100.0	33.3	100.0
110	100.0	66.7	100.0
111	88.9	11.1	77.8
112	100.0	11.1	88.9
113	100.0	100.0	100.0
114	100.0	33.3	100.0
115	77.8	55.6	100.0
116	77.8	100.0	88.9
117	100.0	55.6	100.0
118	100.0	11.1	100.0
119	100.0	100.0	66.7
120	100.0	100.0	77.8
121	55.6	11.1	66.7
122	100.0	22.2	0.0
123	100.0	77.8	100.0
124	77.8	44.4	77.8
125	77.8	22.2	55.6
126	11.1	22.2	33.3
127	100.0	100.0	88.9
128	77.8	22.2	66.7
129	0.0	100.0	77.8
130	66.7	11.1	77.8
131	100.0	0.0	77.8
132	33.3	100.0	44.4
133	100.0	100.0	100.0
134	100.0	11.1	77.8
135	77.8	11.1	66.7
136	100.0	44.4	100.0
137	100.0	100.0	100.0
138	77.8	100.0	100.0
139	66.7	22.2	88.9
140	100.0	55.6	77.8
141	77.8	22.2	100.0
142	100.0	100.0	100.0
143	44.4	0.0	55.6
144	100.0	55.6	77.8
145	100.0	11.1	100.0
146	22.2	33.3	100.0
147	44.4	44.4	33.3
148	66.7	33.3	66.7
149	44.4	11.1	44.4
150	100.0	33.3	100.0
151	100.0	55.6	100.0
152	77.8	55.6	77.8
153	88.9	22.2	100.0
154	100.0	55.6	100.0
155	66.7	0.0	66.7
156	77.8	55.6	66.7
157	0.0	55.6	77.8
158	100.0	100.0	77.8
159	22.2	33.3	77.8
160	88.9	66.7	77.8
161	100.0	0.0	77.8
162	100.0	33.3	66.7
163	88.9	0.0	100.0
164	55.6	11.1	44.4
165	100.0	11.1	100.0
166	44.4	11.1	44.4
167	100.0	11.1	100.0
168	88.9	100.0	66.7
169	77.8	55.6	77.8
170	66.7	55.6	77.8
171	77.8	100.0	55.6
172	100.0	22.2	100.0
173	77.8	55.6	88.9
174	44.4	88.9	66.7
175	0.0	44.4	100.0
176	44.4	77.8	44.4
177	33.3	100.0	100.0
178	88.9	44.4	77.8
179	100.0	100.0	100.0
180	44.4	11.1	66.7
181	77.8	11.1	66.7
182	77.8	77.8	55.6
183	100.0	0.0	100.0
184	22.2	44.4	66.7
185	33.3	11.1	55.6
186	100.0	100.0	100.0
187	88.9	44.4	77.8
188	55.6	44.4	66.7
189	66.7	22.2	44.4
190	100.0	33.3	77.8
191	100.0	22.2	77.8
192	0.0	55.6	100.0
193	0.0	55.6	100.0
194	100.0	22.2	100.0
195	44.4	100.0	44.4
196	66.7	0.0	55.6
197	100.0	44.4	100.0
198	100.0	22.2	100.0
199	100.0	11.1	88.9
200	77.8	55.6	88.9
201	0.0	100.0	88.9
202	100.0	100.0	77.8
203	55.6	77.8	77.8
204	77.8	100.0	77.8
205	100.0	55.6	77.8
206	0.0	11.1	0.0
207	100.0	100.0	100.0
208	77.8	11.1	100.0
209	88.9	66.7	77.8
210	44.4	11.1	100.0
211	77.8	55.6	44.4
212	0.0	55.6	66.7
213	77.8	33.3	66.7
214	88.9	22.2	77.8
215	55.6	55.6	44.4
216	0.0	11.1	44.4
217	100.0	55.6	100.0
218	88.9	11.1	88.9
219	88.9	11.1	88.9
220	0.0	22.2	22.2
221	66.7	33.3	44.4
222	100.0	0.0	100.0
223	88.9	44.4	88.9
224	66.7	33.3	66.7
225	22.2	0.0	100.0
226	100.0	55.6	66.7
227	33.3	33.3	44.4
228	88.9	100.0	77.8
229	77.8	77.8	44.4
230	100.0	100.0	100.0
231	11.1	22.2	22.2
232	44.4	33.3	44.4
233	100.0	44.4	77.8
234	77.8	22.2	66.7
235	44.4	22.2	44.4
236	66.7	100.0	66.7
237	88.9	22.2	77.8
238	22.2	100.0	77.8
239	11.1	44.4	0.0
240	33.3	100.0	88.9
241	100.0	55.6	100.0
242	100.0	55.6	100.0
243	100.0	11.1	100.0
244	100.0	100.0	100.0
245	66.7	100.0	77.8
246	0.0	100.0	44.4
247	44.4	55.6	88.9
248	66.7	100.0	77.8
249	66.7	66.7	66.7
250	100.0	22.2	100.0
