Case	PerQual1	PerQual2	PerQual3	PerQual4	PerQual5	PerQual6	PerQual7
1	66.7	55.6	33.3	66.7	55.6	44.4	44.4
2	100.0	88.9	100.0	100.0	88.9	100.0	100.0
3	66.7	77.8	44.4	66.7	77.8	66.7	66.7
4	77.8	100.0	100.0	77.8	33.3	44.4	77.8
5	100.0	88.9	77.8	100.0	88.9	88.9	77.8
6	88.9	100.0	88.9	100.0	77.8	88.9	88.9
7	66.7	77.8	88.9	66.7	77.8	66.7	77.8
8	77.8	55.6	66.7	77.8	66.7	77.8	66.7
9	66.7	77.8	55.6	66.7	66.7	66.7	77.8
10	55.6	55.6	77.8	77.8	77.8	66.7	77.8
11	77.8	77.8	77.8	77.8	77.8	77.8	77.8
12	66.7	77.8	77.8	77.8	88.9	88.9	77.8
13	88.9	88.9	66.7	77.8	77.8	88.9	77.8
14	100.0	66.7	100.0	100.0	100.0	100.0	100.0
15	77.8	77.8	77.8	88.9	55.6	88.9	66.7
16	100.0	88.9	88.9	88.9	88.9	88.9	88.9
17	88.9	77.8	100.0	88.9	100.0	88.9	33.3
18	66.7	55.6	44.4	77.8	66.7	66.7	66.7
19	77.8	77.8	88.9	88.9	77.8	88.9	88.9
20	77.8	66.7	66.7	77.8	77.8	66.7	55.6
21	66.7	77.8	77.8	77.8	88.9	77.8	77.8
22	77.8	22.2	100.0	66.7	88.9	77.8	55.6
23	66.7	66.7	66.7	77.8	66.7	66.7	44.4
24	77.8	77.8	77.8	77.8	77.8	66.7	66.7
25	55.6	77.8	44.4	44.4	77.8	55.6	33.3
26	100.0	100.0	100.0	100.0	100.0	100.0	100.0
27	77.8	77.8	77.8	77.8	77.8	77.8	66.7
28	44.4	44.4	44.4	44.4	44.4	44.4	44.4
29	77.8	66.7	77.8	66.7	66.7	66.7	77.8
30	100.0	100.0	88.9	100.0	88.9	100.0	88.9
31	88.9	88.9	77.8	88.9	77.8	88.9	77.8
32	77.8	66.7	66.7	77.8	77.8	66.7	66.7
33	44.4	66.7	100.0	44.4	66.7	66.7	100.0
34	100.0	55.6	100.0	100.0	100.0	100.0	66.7
35	44.4	0.0	44.4	44.4	44.4	44.4	0.0
36	77.8	33.3	100.0	33.3	100.0	100.0	77.8
37	88.9	100.0	55.6	88.9	66.7	88.9	44.4
38	77.8	66.7	66.7	77.8	66.7	66.7	66.7
39	88.9	100.0	88.9	100.0	88.9	100.0	77.8
40	77.8	66.7	66.7	77.8	77.8	77.8	66.7
41	77.8	100.0	100.0	100.0	88.9	100.0	66.7
42	88.9	66.7	88.9	77.8	77.8	77.8	88.9
43	100.0	77.8	100.0	100.0	88.9	77.8	100.0
44	66.7	77.8	77.8	77.8	44.4	77.8	66.7
45	100.0	100.0	100.0	100.0	88.9	88.9	100.0
46	100.0	66.7	100.0	88.9	100.0	100.0	100.0
47	88.9	100.0	88.9	77.8	66.7	77.8	77.8
48	77.8	77.8	77.8	66.7	77.8	77.8	77.8
49	55.6	66.7	0.0	66.7	55.6	55.6	11.1
50	55.6	88.9	88.9	100.0	88.9	88.9	66.7
51	77.8	55.6	100.0	66.7	77.8	77.8	100.0
52	77.8	55.6	66.7	66.7	55.6	66.7	55.6
53	88.9	100.0	66.7	88.9	66.7	77.8	77.8
54	77.8	77.8	77.8	100.0	77.8	55.6	55.6
55	66.7	66.7	66.7	77.8	66.7	77.8	77.8
56	66.7	66.7	88.9	66.7	77.8	66.7	77.8
57	77.8	44.4	55.6	44.4	55.6	44.4	11.1
58	88.9	66.7	100.0	100.0	77.8	77.8	100.0
59	100.0	88.9	77.8	88.9	77.8	88.9	77.8
60	77.8	66.7	77.8	66.7	66.7	77.8	77.8
61	55.6	66.7	55.6	55.6	66.7	66.7	55.6
62	77.8	88.9	88.9	66.7	66.7	88.9	88.9
63	66.7	66.7	77.8	77.8	77.8	77.8	77.8
64	77.8	77.8	22.2	33.3	66.7	77.8	44.4
65	77.8	66.7	77.8	77.8	88.9	55.6	66.7
66	77.8	88.9	77.8	88.9	88.9	88.9	88.9
