Case	PerVal1	PerVal2
1	11.1	22.2
2	100.0	100.0
3	66.7	66.7
4	44.4	44.4
5	55.6	55.6
6	100.0	100.0
7	44.4	66.7
8	44.4	66.7
9	44.4	66.7
10	33.3	55.6
11	66.7	66.7
12	44.4	66.7
13	44.4	55.6
14	66.7	77.8
15	11.1	44.4
16	11.1	66.7
17	44.4	100.0
18	66.7	66.7
19	77.8	66.7
20	66.7	66.7
21	66.7	66.7
22	44.4	44.4
23	44.4	66.7
24	88.9	88.9
25	22.2	44.4
26	77.8	77.8
27	66.7	66.7
28	100.0	100.0
29	66.7	77.8
30	77.8	100.0
31	77.8	88.9
32	44.4	44.4
33	44.4	100.0
34	77.8	66.7
35	0.0	0.0
36	77.8	66.7
37	22.2	44.4
38	55.6	44.4
39	88.9	88.9
40	55.6	77.8
41	77.8	77.8
42	77.8	66.7
43	77.8	100.0
44	33.3	44.4
45	77.8	100.0
46	77.8	66.7
47	11.1	44.4
48	66.7	77.8
49	22.2	33.3
50	0.0	11.1
51	33.3	66.7
52	44.4	55.6
53	77.8	77.8
54	77.8	66.7
55	77.8	66.7
56	77.8	66.7
57	44.4	44.4
58	77.8	77.8
59	77.8	88.9
60	55.6	55.6
61	33.3	33.3
62	66.7	66.7
63	88.9	77.8
64	44.4	55.6
65	55.6	66.7
66	11.1	55.6
67	66.7	66.7
68	44.4	44.4
69	55.6	66.7
70	55.6	55.6
71	66.7	66.7
72	66.7	66.7
73	0.0	0.0
74	66.7	66.7
75	66.7	66.7
76	33.3	33.3
77	77.8	77.8
78	44.4	44.4
79	55.6	55.6
80	66.7	66.7
81	66.7	66.7
82	66.7	77.8
83	66.7	77.8
84	55.6	66.7
85	55.6	66.7
86	33.3	77.8
87	77.8	88.9
88	88.9	88.9
89	66.7	77.8
90	66.7	77.8
91	77.8	77.8
92	55.6	66.7
93	66.7	77.8
94	77.8	55.6
95	33.3	33.3
96	77.8	100.0
97	88.9	77.8
98	66.7	66.7
99	44.4	66.7
100	66.7	66.7
101	66.7	77.8
102	66.7	66.7
103	66.7	77.8
104	55.6	66.7
105	77.8	77.8
106	44.4	44.4
107	100.0	77.8
108	22.2	66.7
109	77.8	77.8
110	66.7	77.8
111	44.4	66.7
112	66.7	88.9
113	88.9	77.8
114	77.8	77.8
115	77.8	77.8
116	11.1	44.4
117	100.0	100.0
118	77.8	77.8
119	88.9	88.9
120	77.8	77.8
121	66.7	77.8
122	11.1	33.3
123	100.0	100.0
124	44.4	55.6
125	55.6	66.7
126	44.4	44.4
127	88.9	88.9
128	44.4	55.6
129	44.4	44.4
130	66.7	66.7
131	44.4	100.0
132	33.3	33.3
133	44.4	44.4
134	100.0	77.8
135	55.6	66.7
136	77.8	77.8
137	100.0	100.0
138	55.6	77.8
139	0.0	88.9
140	66.7	100.0
141	88.9	55.6
142	66.7	66.7
143	33.3	44.4
144	11.1	77.8
145	100.0	100.0
146	88.9	88.9
147	44.4	33.3
148	55.6	66.7
149	44.4	44.4
150	44.4	66.7
151	77.8	77.8
152	44.4	66.7
153	0.0	55.6
154	44.4	100.0
155	55.6	66.7
156	55.6	66.7
157	66.7	66.7
158	77.8	77.8
159	33.3	55.6
160	88.9	55.6
161	66.7	77.8
162	44.4	55.6
163	55.6	77.8
164	77.8	44.4
165	11.1	0.0
166	44.4	66.7
167	66.7	66.7
168	55.6	77.8
169	44.4	77.8
170	44.4	66.7
171	55.6	55.6
172	100.0	100.0
173	66.7	77.8
174	44.4	44.4
175	44.4	77.8
176	77.8	66.7
177	100.0	100.0
178	66.7	66.7
179	66.7	66.7
180	55.6	66.7
181	55.6	55.6
182	44.4	11.1
183	44.4	77.8
184	77.8	77.8
185	55.6	55.6
186	100.0	100.0
187	77.8	77.8
188	0.0	0.0
189	44.4	55.6
190	66.7	66.7
191	0.0	44.4
192	66.7	100.0
193	55.6	66.7
194	100.0	88.9
195	33.3	55.6
196	44.4	44.4
197	44.4	100.0
198	100.0	100.0
199	44.4	55.6
200	55.6	66.7
201	44.4	66.7
202	77.8	66.7
203	33.3	33.3
204	22.2	44.4
205	44.4	44.4
206	66.7	66.7
207	88.9	88.9
208	66.7	88.9
209	66.7	66.7
210	100.0	77.8
211	66.7	66.7
212	66.7	66.7
213	22.2	55.6
214	77.8	88.9
215	66.7	55.6
216	11.1	55.6
217	77.8	77.8
218	44.4	44.4
219	55.6	55.6
220	22.2	22.2
221	44.4	44.4
222	55.6	77.8
223	66.7	66.7
224	22.2	44.4
225	33.3	44.4
226	66.7	55.6
227	0.0	33.3
228	77.8	66.7
229	11.1	33.3
230	100.0	100.0
231	33.3	44.4
232	44.4	77.8
233	88.9	88.9
234	77.8	77.8
235	22.2	55.6
236	66.7	66.7
237	44.4	66.7
238	33.3	55.6
239	77.8	55.6
240	44.4	66.7
241	77.8	66.7
242	0.0	0.0
243	44.4	44.4
244	44.4	77.8
245	66.7	44.4
246	44.4	77.8
247	44.4	44.4
248	77.8	77.8
249	44.4	44.4
250	44.4	88.9
