Case	Compl	Compl
1	66.7	66.7
2	100	100
3	55.6	55.6
4	44.4	44.4
5	44.4	44.4
6	77.8	77.8
7	66.7	66.7
8	77.8	77.8
9	77.8	77.8
10	55.6	55.6
11	66.7	66.7
12	66.7	66.7
13	77.8	77.8
14	77.8	77.8
15	66.7	66.7
16	66.7	66.7
17	44.4	44.4
18	44.4	44.4
19	100	100
20	44.4	44.4
21	66.7	66.7
22	66.7	66.7
23	66.7	66.7
24	88.9	88.9
25	33.3	33.3
26	100	100
27	44.4	44.4
28	44.4	44.4
29	66.7	66.7
30	77.8	77.8
31	77.8	77.8
32	22.2	22.2
33	66.7	66.7
34	100	100
35	0	0
36	100	100
37	0	0
38	66.7	66.7
39	100	100
40	55.6	55.6
41	100	100
42	44.4	44.4
43	100	100
44	33.3	33.3
45	100	100
46	77.8	77.8
47	100	100
48	88.9	88.9
49	22.2	22.2
50	100	100
51	100	100
52	66.7	66.7
53	44.4	44.4
54	77.8	77.8
55	66.7	66.7
56	55.6	55.6
57	66.7	66.7
58	88.9	88.9
59	100	100
60	44.4	44.4
61	33.3	33.3
62	66.7	66.7
63	88.9	88.9
64	55.6	55.6
65	55.6	55.6
66	55.6	55.6
67	66.7	66.7
68	33.3	33.3
69	66.7	66.7
70	100	100
71	66.7	66.7
72	100	100
73	100	100
74	44.4	44.4
75	55.6	55.6
76	66.7	66.7
77	88.9	88.9
78	44.4	44.4
79	66.7	66.7
80	66.7	66.7
81	66.7	66.7
82	77.8	77.8
83	77.8	77.8
84	55.6	55.6
85	77.8	77.8
86	66.7	66.7
87	88.9	88.9
88	88.9	88.9
89	100	100
90	88.9	88.9
91	100	100
92	55.6	55.6
93	88.9	88.9
94	66.7	66.7
95	0	0
96	88.9	88.9
97	77.8	77.8
98	66.7	66.7
99	66.7	66.7
100	100	100
101	77.8	77.8
102	66.7	66.7
103	77.8	77.8
104	66.7	66.7
105	77.8	77.8
106	100	100
107	77.8	77.8
108	77.8	77.8
109	11.1	11.1
110	100	100
111	66.7	66.7
112	77.8	77.8
113	100	100
114	100	100
115	100	100
116	44.4	44.4
117	100	100
118	88.9	88.9
119	77.8	77.8
120	77.8	77.8
121	77.8	77.8
122	44.4	44.4
123	100	100
124	33.3	33.3
125	66.7	66.7
126	33.3	33.3
127	88.9	88.9
128	66.7	66.7
129	55.6	55.6
130	66.7	66.7
131	0	0
132	55.6	55.6
133	55.6	55.6
134	100	100
135	44.4	44.4
136	44.4	44.4
137	100	100
138	88.9	88.9
139	66.7	66.7
140	55.6	55.6
141	100	100
142	66.7	66.7
143	66.7	66.7
144	77.8	77.8
145	100	100
146	88.9	88.9
147	11.1	11.1
148	55.6	55.6
149	66.7	66.7
150	100	100
151	44.4	44.4
152	77.8	77.8
153	100	100
154	44.4	44.4
155	55.6	55.6
156	66.7	66.7
157	77.8	77.8
158	77.8	77.8
159	55.6	55.6
160	77.8	77.8
161	66.7	66.7
162	55.6	55.6
163	100	100
164	55.6	55.6
165	11.1	11.1
166	77.8	77.8
167	100	100
168	22.2	22.2
169	44.4	44.4
170	88.9	88.9
171	55.6	55.6
172	44.4	44.4
173	77.8	77.8
174	100	100
175	88.9	88.9
176	44.4	44.4
177	100	100
178	55.6	55.6
179	44.4	44.4
180	33.3	33.3
181	44.4	44.4
182	66.7	66.7
183	77.8	77.8
184	77.8	77.8
185	66.7	66.7
186	100	100
187	66.7	66.7
188	33.3	33.3
189	11.1	11.1
190	66.7	66.7
191	100	100
192	44.4	44.4
193	44.4	44.4
194	66.7	66.7
195	100	100
196	0	0
197	100	100
198	0	0
199	66.7	66.7
200	100	100
201	66.7	66.7
202	100	100
203	33.3	33.3
204	44.4	44.4
205	77.8	77.8
206	44.4	44.4
207	77.8	77.8
208	77.8	77.8
209	66.7	66.7
210	66.7	66.7
211	44.4	44.4
212	66.7	66.7
213	77.8	77.8
214	55.6	55.6
215	66.7	66.7
216	44.4	44.4
217	77.8	77.8
218	77.8	77.8
219	55.6	55.6
220	44.4	44.4
221	77.8	77.8
222	77.8	77.8
223	77.8	77.8
224	77.8	77.8
225	100	100
226	0	0
227	66.7	66.7
228	66.7	66.7
229	44.4	44.4
230	100	100
231	33.3	33.3
232	44.4	44.4
233	88.9	88.9
234	55.6	55.6
235	66.7	66.7
236	66.7	66.7
237	77.8	77.8
238	66.7	66.7
239	0	0
240	100	100
241	77.8	77.8
242	0	0
243	100	100
244	100	100
245	77.8	77.8
246	77.8	77.8
247	100	100
248	77.8	77.8
249	11.1	11.1
250	88.9	88.9
